soft constraints score
1.0
id,Course,Professors,Class,Room, Day,Start,End
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-04-22
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-04-25
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-04-23
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-04-25
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-04-26
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-23
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-22
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-04-25
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-04-23
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-04-22
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-04-24
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-04-29
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-05-02
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-04-30
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-05-02
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-05-03
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-30
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-29
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-05-02
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-04-30
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-04-29
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-01
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-05-06
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-05-09
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-05-07
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-05-09
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-05-10
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-07
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-06
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-05-09
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-05-07
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-06
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-08
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-05-13
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-05-16
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-05-14
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-05-16
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-05-17
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-14
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-13
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-05-16
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-05-14
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-13
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-15
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-05-20
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-05-23
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-05-21
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-05-23
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-05-24
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-21
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-20
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-05-23
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-05-21
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-20
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-22
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-05-27
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-05-30
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-05-28
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-05-30
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-05-31
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-28
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-27
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-05-30
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-05-28
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-05-27
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-29
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-06-10
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-06-13
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-06-11
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-06-13
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-06-14
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-11
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-10
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-06-13
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-06-11
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-06-10
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-06-12
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-06-17
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-06-20
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-06-18
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-06-20
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-06-21
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-18
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-17
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-06-20
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-06-18
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-06-17
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-06-19
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-06-24
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-06-27
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-06-25
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-06-27
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-06-28
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-25
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-06-24
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-06-27
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-06-25
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-06-24
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-06-26
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-07-01
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-07-04
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-07-02
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-07-04
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-07-05
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-02
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-01
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-07-04
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-07-02
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-01
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-03
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-07-08
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-07-11
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-07-09
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-07-11
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-07-12
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-09
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-08
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-07-11
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-07-09
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-08
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-10
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-07-15
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-07-18
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-07-16
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-07-18
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-07-19
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-16
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-15
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-07-18
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-07-16
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-15
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-17
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,9:30,11:00,2019-07-22
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,10:30,12:30,2019-07-25
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,16:00,17:30,2019-07-23
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,13:00,14:30,2019-07-25
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,8:30,10:30,2019-07-26
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-23
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-07-22
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:30,2019-07-25
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,13:30,15:00,2019-07-23
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-07-22
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-07-24
soft constraints score
1.0
id,Course,Professors,Class,Room, Day,Start,End
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-04-23
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-04-22
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-04-23
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-04-25
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-04-24
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-22
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-04-24
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-04-25
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-04-22
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-04-23
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-04-26
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-04-30
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-04-29
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-04-30
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-02
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-01
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-04-29
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-01
48,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:30,13:30,2019-05-02
49,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,9:30,11:00,2019-04-29
50,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,12:30,14:00,2019-04-30
51,Introduction to Algorithms,Gemma Roig,4CISTD3,CC2,8:30,10:30,2019-05-03
41,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,16:00,17:30,2019-05-07
42,Introduction to Information Systems & Programming,Norman Lee,4CISTD3,CC2,12:30,14:30,2019-05-06
43,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:00,2019-05-07
44,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,9:30,11:00,2019-05-09
45,Introduction to Algorithms,Gemma Roig,4CISTD1,CC2,10:30,12:30,2019-05-08
46,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,11:00,12:30,2019-05-06
47,Introduction to Algorithms,Gemma Roig,4CISTD2,CC2,8:30,10:00,2019-05-08
